promotion_id,platform_metric_id,module,platform_display_name,source_header,canonical_table,canonical_field,suggested_decision,evidence_tier,grain,time_basis,unit,value_encoding,aggregation,runtime_action,definition_sha256,evidence_summary,risk_or_blocker,next_action
promo_348229cd2828977f823df851,14,数据总览,商品访客数,商品访客数,business_overview_daily,product_visitors,blocked_contract_semantics,strong,shop_day,analysis_window,count,integer,direct,none,8897bbeecb11ea9ea6933f3df5ac14ba4161097b44ed18ad1bdb32daa9867c49,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,daily_distinct_users_are_not_additive_but_current_period_logic_sums_them,fix_period_distinct_aggregation_then_re_review
promo_a7141e877bf226db750ff96a,19,数据总览,支付买家数,支付买家数,business_overview_daily,paid_buyers,blocked_contract_semantics,strong,shop_day,payment_time,count,integer,direct,none,21adf47e6794871928f2e7c94ccbdfab91f95242197a380b4de3cc01110fa19d,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,daily_distinct_users_are_not_additive_but_current_period_logic_sums_them,fix_period_distinct_aggregation_then_re_review
promo_88710570be5e46dd28a1eb9d,20,交易数据/成交分析,支付金额,支付金额,business_overview_daily,gmv,approve,strong,shop_day,payment_time,cny,decimal,direct,none,5049d02b826e596052f9507b7a37d90098631bf5da5c55a12f13c8030b7d1b3d,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,payment_time_caliber_must_be_preserved,eligible_for_formal_binding_after_operator_acceptance
promo_c5b0e7782712276ceab9b324,20,数据总览,支付金额,支付金额,business_overview_daily,gmv,approve,strong,shop_day,payment_time,cny,decimal,direct,none,5049d02b826e596052f9507b7a37d90098631bf5da5c55a12f13c8030b7d1b3d,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,payment_time_caliber_must_be_preserved,eligible_for_formal_binding_after_operator_acceptance
promo_7d3ea43c64b21079a42bd8e5,37,交易数据/成交分析,支付订单数,支付订单数,business_overview_daily,paid_orders,approve,strong,shop_day,payment_time,count,integer,direct,none,4bd8b824bbd6a3528328d40f195b0da3df28c80445cebe4623d26ef3fd395939,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,payment_time_caliber_must_be_preserved,eligible_for_formal_binding_after_operator_acceptance
promo_2665a22ba059fdaf5b4bbe83,37,数据总览,支付订单数,支付订单数,business_overview_daily,paid_orders,approve,strong,shop_day,payment_time,count,integer,direct,none,4bd8b824bbd6a3528328d40f195b0da3df28c80445cebe4623d26ef3fd395939,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,payment_time_caliber_must_be_preserved,eligible_for_formal_binding_after_operator_acceptance
promo_b1bd38cb3cb59a6d1a31f258,41,交易数据/成交分析,退款金额(退款时间),退款金额（退款时间）,business_overview_daily,refund_amount_refundtime,approve,strong,shop_day,refund_completion_time,cny,decimal,direct,none,8bcd349058a3c0ccc9aaddf7640c950fe180f374cb4ab01b1c5439327cb1c2b3,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,never_mix_refund_completion_time_with_payment_time,eligible_for_formal_binding_after_operator_acceptance
promo_675965b7058455be1808267e,41,数据总览,退款金额(退款时间),退款金额（退款时间）,business_overview_daily,refund_amount_refundtime,approve,strong,shop_day,refund_completion_time,cny,decimal,direct,none,8bcd349058a3c0ccc9aaddf7640c950fe180f374cb4ab01b1c5439327cb1c2b3,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,never_mix_refund_completion_time_with_payment_time,eligible_for_formal_binding_after_operator_acceptance
promo_666802bb3213bd76434e90b8,370,数据总览,笔记支付金额,笔记支付金额,business_overview_daily,note_gmv,approve,strong,shop_day,analysis_window,cny,decimal,direct,none,c9ad213338c88772309a05675e437b1c27c883af96d3092ded15d54050e91e7c,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,do_not_infer_channel_exclusivity_or_causal_attribution,eligible_for_formal_binding_after_operator_acceptance
promo_dca32a487a15905e357abad8,1774,交易数据/成交分析,退款金额(支付时间),退款金额（支付时间）,business_overview_daily,refund_amount_pay,approve,strong,shop_day,payment_time,cny,decimal,direct,none,5d3109793e7d162b925ac8fed52fb5f14d0cfc2034fc14d7e8ffdcbae135267c,official_definition+exact_table_alias+real_91_day_export+runtime_91_rows,payment_time_refund_values_can_restate_for_90_days,eligible_for_formal_binding_after_operator_acceptance
