promotion_id,platform_metric_id,module,canonical_table,canonical_field,decision,match_basis,confidence,definition_sha256,reason
promo_348229cd2828977f823df851,14,数据总览,business_overview_daily,product_visitors,proposed,exact_existing_alias,high,8897bbeecb11ea9ea6933f3df5ac14ba4161097b44ed18ad1bdb32daa9867c49,exact_table_scoped_alias_requires_human_approval
promo_d09f65ec3e2884e9ab477079,16,商品数据,sku_performance,add_to_cart_users,proposed,exact_existing_alias,high,c0e7204f4d920eb76afc89d6d7123dadcd4f2c4f4fa4b33c9272a6440a6beccb,exact_table_scoped_alias_requires_human_approval
promo_e665859afcb11b068bcc1b42,19,商品数据,sku_performance,paid_buyers,proposed,exact_existing_alias,high,21adf47e6794871928f2e7c94ccbdfab91f95242197a380b4de3cc01110fa19d,exact_table_scoped_alias_requires_human_approval
promo_a7141e877bf226db750ff96a,19,数据总览,business_overview_daily,paid_buyers,proposed,exact_existing_alias,high,21adf47e6794871928f2e7c94ccbdfab91f95242197a380b4de3cc01110fa19d,exact_table_scoped_alias_requires_human_approval
promo_88710570be5e46dd28a1eb9d,20,交易数据/成交分析,business_overview_daily,gmv,proposed,exact_existing_alias,high,5049d02b826e596052f9507b7a37d90098631bf5da5c55a12f13c8030b7d1b3d,exact_table_scoped_alias_requires_human_approval
promo_fd543ed20acdc8c0c2aaa059,20,商品数据,sku_performance,gmv,proposed,exact_existing_alias,high,5049d02b826e596052f9507b7a37d90098631bf5da5c55a12f13c8030b7d1b3d,exact_table_scoped_alias_requires_human_approval
promo_c5b0e7782712276ceab9b324,20,数据总览,business_overview_daily,gmv,proposed,exact_existing_alias,high,5049d02b826e596052f9507b7a37d90098631bf5da5c55a12f13c8030b7d1b3d,exact_table_scoped_alias_requires_human_approval
promo_8da1d80210000362b14b672a,20,流量数据,traffic_source,gmv,proposed,exact_existing_alias,high,5049d02b826e596052f9507b7a37d90098631bf5da5c55a12f13c8030b7d1b3d,exact_table_scoped_alias_requires_human_approval
promo_c07438a967a33018c784ad8d,22,商品数据,sku_performance,aov,proposed,exact_existing_alias,high,1bff0efcb325149329a881ce08496ca6f43690baaa52fd28c2185410b812f610,exact_table_scoped_alias_requires_human_approval
promo_7d3ea43c64b21079a42bd8e5,37,交易数据/成交分析,business_overview_daily,paid_orders,proposed,exact_existing_alias,high,4bd8b824bbd6a3528328d40f195b0da3df28c80445cebe4623d26ef3fd395939,exact_table_scoped_alias_requires_human_approval
promo_8a83e064721be0d8f076ab99,37,商品数据,sku_performance,paid_orders,proposed,exact_existing_alias,high,4bd8b824bbd6a3528328d40f195b0da3df28c80445cebe4623d26ef3fd395939,exact_table_scoped_alias_requires_human_approval
promo_2665a22ba059fdaf5b4bbe83,37,数据总览,business_overview_daily,paid_orders,proposed,exact_existing_alias,high,4bd8b824bbd6a3528328d40f195b0da3df28c80445cebe4623d26ef3fd395939,exact_table_scoped_alias_requires_human_approval
promo_e4076976bbc3949f98f3abed,38,商品数据,sku_performance,paid_units,proposed,exact_existing_alias,high,ec2de0c98ee2deaf0ff180e32b2ae4d6e21fec31f0bbcb92e0981411cd3c5662,exact_table_scoped_alias_requires_human_approval
promo_b1bd38cb3cb59a6d1a31f258,41,交易数据/成交分析,business_overview_daily,refund_amount_refundtime,proposed,exact_existing_alias,high,8bcd349058a3c0ccc9aaddf7640c950fe180f374cb4ab01b1c5439327cb1c2b3,exact_table_scoped_alias_requires_human_approval
promo_8de73f4df13a68fd697c072b,41,商品数据,sku_performance,refund_amount_refundtime,proposed,exact_existing_alias,high,8bcd349058a3c0ccc9aaddf7640c950fe180f374cb4ab01b1c5439327cb1c2b3,exact_table_scoped_alias_requires_human_approval
promo_675965b7058455be1808267e,41,数据总览,business_overview_daily,refund_amount_refundtime,proposed,exact_existing_alias,high,8bcd349058a3c0ccc9aaddf7640c950fe180f374cb4ab01b1c5439327cb1c2b3,exact_table_scoped_alias_requires_human_approval
promo_d9fd78b9ebb0e4308a763c52,55,笔记数据/商品笔记,notes,likes,proposed,exact_existing_alias,high,39a7e12b816b662f853cfbeaa5626e7c87abf39f8b989da2d4ae77e14102150a,exact_table_scoped_alias_requires_human_approval
promo_eafa3a4b328bf992b2adcd27,55,笔记数据/普通笔记,notes,likes,proposed,exact_existing_alias,high,39a7e12b816b662f853cfbeaa5626e7c87abf39f8b989da2d4ae77e14102150a,exact_table_scoped_alias_requires_human_approval
promo_44f1f6a5616600de20abadff,56,笔记数据/商品笔记,notes,collects,proposed,exact_existing_alias,high,e3d01ed1b7c4e7224f7015c9ed7c1043549e8277524120f1be35820b5ebf3944,exact_table_scoped_alias_requires_human_approval
promo_cc24290c60efd040db08d921,56,笔记数据/普通笔记,notes,collects,proposed,exact_existing_alias,high,e3d01ed1b7c4e7224f7015c9ed7c1043549e8277524120f1be35820b5ebf3944,exact_table_scoped_alias_requires_human_approval
promo_f7580c39ed0b8de006a6f3ce,57,笔记数据/商品笔记,notes,comments,proposed,exact_existing_alias,high,5e180515b05d0da1b513c4e8ccab21ad9f6637c9c98eef198c6b7464ecb7d138,exact_table_scoped_alias_requires_human_approval
promo_1923fdcec1ed97c4d10984b7,57,笔记数据/普通笔记,notes,comments,proposed,exact_existing_alias,high,5e180515b05d0da1b513c4e8ccab21ad9f6637c9c98eef198c6b7464ecb7d138,exact_table_scoped_alias_requires_human_approval
promo_4d7ada365db339374fd92bf5,58,笔记数据/商品笔记,notes,shares,proposed,exact_existing_alias,high,705b1fb7f0e82a4cf2b1b21e3ad001aa5d8f83cfd1303503cde859b5e9533bd0,exact_table_scoped_alias_requires_human_approval
promo_0e4963d3eac670f1f50c5efb,58,笔记数据/普通笔记,notes,shares,proposed,exact_existing_alias,high,705b1fb7f0e82a4cf2b1b21e3ad001aa5d8f83cfd1303503cde859b5e9533bd0,exact_table_scoped_alias_requires_human_approval
promo_a362d5d31869c67f7cca5c74,95,服务数据/售后数据,,,deferred,,,080ac5e399d8e6aa4cac77528d03ed5b93e656418b7935717ad79082f5963348,module_outside_current_skill_scope
